X,Y,objectid,numero_estacion,nombre_estacion,coordenada_x_estacion,coordenada_y_estacion,ubicacion_estacion,troncal_estacion,numero_vagones_estacion,numero_accesos_estacion,biciestacion_estacion,capacidad_biciestacion_estacion,tipo_estacion,biciparqueadero_estacion,latitud_estacion,longitud_estacion,codigo_nodo_estacion,componente_wifi,componente_aplificacion,globalid,created_user,created_date,last_edited_user,last_edited_date,log_replica,id_trazado_troncal
1000007.3887,1000535.4901,135,10006,San Victorino,1000011.2959,1000532.7695,Kra 10- CL 12,Cr 7-10,3,2,0,0,4,0,4.60101831,-74.07740612,10006,Valor SI al campo,,{5D97E83F-F1A9-4F6D-85D5-C7D028B38524},,,editorTroncal,2024/08/05 13:57:55+00,,TZ018
991192.7652,1000010.1072,136,07002,CC Paseo Villa del Río - Madelena,991193.098,1000006.5174,AutoSur-Kr67,NQS,2,1,0,0,4,0,4.59625493,-74.15687517,7002,Valor SI al campo,,{5A2B3550-1A8F-4F87-89CD-333983581B6E},,,editorTroncal,2024/08/05 13:57:56+00,,TZ010
985801.3102,998872.111099999,137,07503,San Mateo - CC Unisur,985801.6742,998871.3923,Autopista Sur - Kr 33,Soacha,3,1,1,650,2,1,4.58598283,-74.20546046,7503,Valor SI al campo,,{87E56A04-6354-4BF7-A885-2F2B73FEE115},,,editorTroncal,2024/08/05 13:57:56+00,,TZ011
992243.6726,999878.8791,138,07003,Sevillana,992243.603,999878.285,Sevillana,NQS,2,1,0,0,4,0,4.59509631,-74.14740798,7003,Valor SI al campo,,{E8B1EBB0-C8DA-4A89-9BE9-FEF016E6027C},,,editorTroncal,2024/08/05 13:57:56+00,,TZ010
1001426.5842,1009318.1672,139,03013,Rionegro,1001420.5593,1009322.1242,Av Suba Cl 87,Suba,2,1,0,0,4,0,4.68050121,-74.0647044,3013,Valor SI al campo,,{665BF8E5-3396-4499-9ABC-0B98C4D1CFD9},,,editorTroncal,2024/08/05 13:57:57+00,,TZ003
1000851.0152,1011394.3706,140,03009,Suba - Calle 116,1000850.8283,1011394.3153,Av Suba CL 114,Suba,2,1,0,0,4,0,4.69924029,-74.06983919,3009,Valor SI al campo,,{44E7737D-D17B-488F-9141-B8B3FB6415BA},,,editorTroncal,2024/08/05 13:57:57+00,,TZ003
999246.1475,999334.044399999,141,10010,San Bernardo,999244.1864,999335.3793,Kra 10- CL 1b  sur,Cr 7-10,2,2,0,0,4,0,4.59019014,-74.08431921,10010,Valor SI al campo,,{61E5A6BB-6C45-4DDC-A33D-AEC0239D035D},,,editorTroncal,2024/08/05 13:57:58+00,,TZ018
996325.6909,1000124.1432,142,07009,SENA,996323.2583,1000129.4773,AutoSur-Cl 17 S,NQS,2,1,0,0,4,0,4.59737052,-74.11064255,7009,Valor SI al campo,,{8DB4E651-987C-4253-A371-C0D3FD9F2214},,,editorTroncal,2024/08/05 13:57:58+00,,TZ010
994670.7629,996515.089500001,143,09003,Socorro,994666.2537,996512.182,KR 16B - KR 14A,Caracas,2,2,0,0,4,0,4.56465807,-74.12557321,9003,Valor SI al campo,,{353171B7-B0AC-49F0-9C8D-9E6BDF09E9A3},,,editorTroncal,2024/08/05 13:57:59+00,,TZ012
999628.2523,1015395.8344,144,03003,21 Ángeles,999628.8228,1015396.6792,Av Suba Cl 136,Suba,2,1,0,0,4,0,4.73543402,-74.0808536,3003,Valor SI al campo,,{9F023B6E-286F-4327-A859-36E781B9A2C8},,,editorTroncal,2024/08/05 13:57:59+00,,TZ003
